model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
gpt-4.1-mini-2025-04-14,48.36,45.87,51.19,1080.0,1102.5859522657763,1085.203778429114,1122.2944780719263,"(-17.38, +19.71)","(-2.49, +2.83)",2025-04-23
o1-high,48.04,44.87,51.1,1512.0,1100.3596009193298,1078.2375125045194,1121.6133386178126,"(-22.12, +21.25)","(-3.17, +3.06)",2025-04-23
o3-mini-high,47.99,45.26,51.06,1265.0,1100.0091286396023,1080.951306979674,1121.3904903833607,"(-19.06, +21.38)","(-2.73, +3.07)",2025-04-23
chatgpt-4o-latest(2025-03-26),46.68,44.43,49.3,1111.0,1090.9168741136427,1075.1344802904737,1109.16841966635,"(-15.78, +18.25)","(-2.25, +2.62)",2025-04-23
o1-medium,45.53,43.01,48.1,1490.0,1082.8691857687322,1065.1237593365572,1100.8036185897479,"(-17.75, +17.93)","(-2.52, +2.57)",2025-04-23
grok-3-beta,42.32,39.78,44.43,1824.0,1060.2044679432324,1041.9724244747122,1075.1400714530957,"(-18.23, +14.94)","(-2.54, +2.11)",2025-04-23
o1-low,39.32,36.76,41.85,1513.0,1038.6186381109069,1019.7763716327603,1056.8604925449388,"(-18.84, +18.24)","(-2.56, +2.53)",2025-04-23
o3-mini-medium,38.35,36.43,40.51,1221.0,1031.5084324849352,1017.3095682864076,1047.226071876691,"(-14.20, +15.72)","(-1.92, +2.16)",2025-04-23
command-a,38.19,35.99,40.35,1083.0,1030.3499760863115,1013.9638603352834,1046.0809395431236,"(-16.39, +15.73)","(-2.20, +2.16)",2025-04-23
gemini-2.5-flash-preview(thinking),37.83,35.7,40.45,2521.0,1027.7060566767223,1011.8132585137762,1046.8100135583236,"(-15.89, +19.10)","(-2.13, +2.62)",2025-04-23
qwen-max,37.24,34.58,39.55,1420.0,1023.3460783111765,1003.2765697927945,1040.279088376327,"(-20.07, +16.93)","(-2.66, +2.31)",2025-04-23
gpt-4o-2024-11-20,34.78,31.84,36.49,1142.0,1004.8026959466991,981.7951451206568,1017.767033925303,"(-23.01, +12.96)","(-2.94, +1.71)",2025-04-23
claude-3.5-sonnet,34.04,31.64,36.78,682.0,999.0776835169123,980.1646495146535,1019.9134877842439,"(-18.91, +20.84)","(-2.40, +2.74)",2025-04-23
qwq-32b,33.91,31.35,36.58,1517.0,998.1012664644308,977.8126313498642,1018.3819050117733,"(-20.29, +20.28)","(-2.56, +2.67)",2025-04-23
o3-mini-low,32.33,30.2,34.37,1205.0,985.6734180918797,968.448811088146,1001.5931910123118,"(-17.22, +15.92)","(-2.13, +2.04)",2025-04-23
grok-3-mini-beta,31.23,28.71,33.79,2010.0,976.8735684164697,956.0045448030879,997.1263865823794,"(-20.87, +20.25)","(-2.52, +2.56)",2025-04-23
qwen-plus,31.13,28.84,32.76,1346.0,976.084084025766,957.1425413926579,989.0690617514347,"(-18.94, +12.98)","(-2.29, +1.63)",2025-04-23
gemini-2.0-flash-thinking-exp-01-21,28.97,27.07,31.51,2497.0,958.1867767291208,941.8601777212717,979.1029301647498,"(-16.33, +20.92)","(-1.90, +2.54)",2025-04-23
deepseek-v3,26.56,24.45,28.51,1007.0,937.3265663794862,918.0445442598223,954.3041325751368,"(-19.28, +16.98)","(-2.11, +1.95)",2025-04-23
gemini-2.5-flash-preview,24.39,22.46,26.56,2299.0,917.4495190787161,898.7523138126478,937.3250701988712,"(-18.70, +19.88)","(-1.93, +2.17)",2025-04-23
claude-3.5-haiku,23.63,21.07,25.99,601.0,910.2300597912663,884.5821875454153,932.2380482437776,"(-25.65, +22.01)","(-2.56, +2.36)",2025-04-23
gemini-2.0-flash-001,23.53,21.91,25.53,1901.0,909.2708422977473,893.1915327453855,928.0609959824253,"(-16.08, +18.79)","(-1.62, +2.00)",2025-04-23
claude-3.5-sonnet-20240620,22.36,19.84,25.49,628.0,897.780991669287,871.4669392299718,927.6277620724911,"(-26.31, +29.85)","(-2.52, +3.13)",2025-04-23
gpt-4.1-nano-2025-04-14,21.22,19.27,23.45,938.0,886.1456668918473,865.1450644513826,908.4672589244387,"(-21.00, +22.32)","(-1.95, +2.23)",2025-04-23
gemma-3-27b-it,20.46,18.97,22.12,1655.0,878.1717156293919,861.7660039677604,895.324681079609,"(-16.41, +17.15)","(-1.49, +1.66)",2025-04-23
gemini-2.0-flash-lite-001,18.02,16.54,19.98,2196.0,850.7976073811606,832.866812629682,872.9740905306235,"(-17.93, +22.18)","(-1.48, +1.96)",2025-04-23
jamba-1.6-large,15.11,13.35,16.57,863.0,814.1026787467757,789.0625662348156,833.1954633850514,"(-25.04, +19.09)","(-1.76, +1.46)",2025-04-23
grok-2-1212,14.8,13.34,16.4,898.0,809.9558992818404,788.9000419214552,831.0540554263382,"(-21.06, +21.10)","(-1.46, +1.60)",2025-04-23
nova-pro-v1,13.62,11.94,15.13,905.0,793.148956383118,766.8636318019089,814.4500408907038,"(-26.29, +21.30)","(-1.68, +1.51)",2025-04-23
gpt-4o-mini,12.8,11.45,13.72,830.0,780.697752535521,758.665398646963,794.5155502198185,"(-22.03, +13.82)","(-1.35, +0.92)",2025-04-23
qwen-2.5-72b-instruct,12.54,11.01,13.94,1097.0,776.5856620333407,750.9354131821532,797.793692675081,"(-25.65, +21.21)","(-1.53, +1.40)",2025-04-23
llama-4-maverick,12.41,10.97,13.93,920.0,774.5330420102598,750.3555473486018,797.6130699859779,"(-24.18, +23.08)","(-1.44, +1.52)",2025-04-23
minimax-01,11.92,10.62,13.18,1071.0,766.6217170514384,744.0296171038082,786.4737417655313,"(-22.59, +19.85)","(-1.30, +1.26)",2025-04-23
mistral-large-2411,10.94,9.6,12.1,906.0,749.6788553731592,724.371088039279,769.5221208007986,"(-25.31, +19.84)","(-1.34, +1.16)",2025-04-23
gemma-2-27b-it,9.86,8.33,11.43,794.0,729.5084304824136,697.4320182272784,758.2836714800324,"(-32.08, +28.78)","(-1.53, +1.57)",2025-04-23
gpt-4-1106-preview,9.19,8.01,10.31,840.0,716.024602629257,690.0703012801469,738.2277879648658,"(-25.95, +22.20)","(-1.18, +1.12)",2025-04-23
qwen2.5-32b-instruct,7.06,5.65,8.34,795.0,666.1470735745161,624.9486349782019,697.6423892989549,"(-41.20, +31.50)","(-1.41, +1.28)",2025-04-23
mistral-small-3.1-24b-instruct-2503,6.73,5.76,7.52,961.0,657.1840866351953,628.4438661836045,678.1367011662574,"(-28.74, +20.95)","(-0.97, +0.79)",2025-04-23
llama-4-scout,6.68,5.46,7.86,844.0,655.8754204954748,618.7841384310055,686.4247363604011,"(-37.09, +30.55)","(-1.22, +1.18)",2025-04-23
hermes-3-llama-3.1-405b,6.37,5.3,7.57,771.0,647.1484961982476,613.0499460926767,679.2677821652488,"(-34.10, +32.12)","(-1.07, +1.20)",2025-04-23
command-r-plus-08-2024,6.33,5.45,7.2,969.0,646.0047400144231,618.2785652218097,669.8556536122162,"(-27.73, +23.85)","(-0.88, +0.87)",2025-04-23
lfm-7b,6.25,5.4,7.13,1011.0,643.6655703289505,616.5906324610847,668.1221173193442,"(-27.07, +24.46)","(-0.85, +0.88)",2025-04-23
nova-lite-v1,6.21,5.34,7.16,994.0,642.5094176140827,614.5820141842814,668.8546229631811,"(-27.93, +26.35)","(-0.87, +0.95)",2025-04-23
qwen-turbo,6.17,4.95,7.07,623.0,641.2511015092106,600.5172610641915,666.5856606520477,"(-40.73, +25.33)","(-1.22, +0.90)",2025-04-23
wizardlm-2-8x22b,5.21,4.47,5.98,1028.0,609.9342263129786,582.2274644507766,635.2403164726951,"(-27.71, +25.31)","(-0.74, +0.77)",2025-04-23
mistral-small-24b-instruct-2501,5.16,4.34,6.02,998.0,608.404373739243,576.6123464176569,636.7428715551349,"(-31.79, +28.34)","(-0.82, +0.86)",2025-04-23
gemma-2-9b-it,5.13,4.32,5.9,751.0,607.3021180931189,575.6730754395011,633.0030581198137,"(-31.63, +25.70)","(-0.81, +0.77)",2025-04-23
hermes-3-llama-3.1-70b,4.91,4.02,5.69,771.0,599.0394857749161,562.9808292813073,626.2881091124945,"(-36.06, +27.25)","(-0.89, +0.78)",2025-04-23
nova-micro-v1,4.06,3.44,5.07,927.0,564.6971407332588,534.8869062039497,605.0238816479423,"(-29.81, +40.33)","(-0.62, +1.01)",2025-04-23
llama-3.3-70b-instruct,3.69,2.84,4.55,809.0,547.3810539526967,500.2132923860766,585.2387348352677,"(-47.17, +37.86)","(-0.85, +0.86)",2025-04-23
command-r-08-2024,3.43,2.81,4.15,796.0,534.2752255097697,498.73205996140035,568.6354771552595,"(-35.54, +34.36)","(-0.62, +0.72)",2025-04-23
lfm-40b,3.38,2.72,4.07,863.0,531.3549884769964,492.5750660195164,565.0258438778167,"(-38.78, +33.67)","(-0.66, +0.69)",2025-04-23
command-r7b-12-2024,2.82,2.27,3.36,882.0,498.9902856834291,460.6356778204323,530.618860113157,"(-38.35, +31.63)","(-0.55, +0.54)",2025-04-23
lfm-3b,2.57,1.94,3.19,776.0,482.3378681412464,432.51893511592806,521.3359579115508,"(-49.82, +39.00)","(-0.63, +0.62)",2025-04-23
olmo-2-0325-32b-instruct,1.77,1.39,2.23,890.0,415.8863100963463,373.9905705591114,457.029171334228,"(-41.90, +41.14)","(-0.38, +0.46)",2025-04-23
qwen-2.5-7b-instruct,1.77,1.35,2.37,844.0,415.93991962228665,369.0818099996868,468.3060040055467,"(-46.86, +52.37)","(-0.42, +0.60)",2025-04-23
jamba-1.6-mini,1.74,1.31,2.26,920.0,413.52634862316756,363.2744011130318,459.7304190785037,"(-50.25, +46.20)","(-0.43, +0.52)",2025-04-23
llama-3.1-nemotron-70b-instruct,1.34,1.06,1.63,1854.0,366.98625421436975,326.4502324463566,401.44273412620703,"(-40.54, +34.46)","(-0.28, +0.29)",2025-04-23
llama-3.1-405b-instruct,0.5,0.39,0.66,1735.0,194.65698252478774,151.65977458013404,243.4331889244913,"(-43.00, +48.78)","(-0.11, +0.16)",2025-04-23
llama-3.1-70b-instruct,0.26,0.18,0.33,1923.0,78.13933530992722,17.916543992114544,123.75131289848095,"(-60.22, +45.61)","(-0.08, +0.07)",2025-04-23
llama-3.1-8b-instruct,0.04,0.02,0.05,5081.0,-266.95402073086234,-345.5859763651474,-209.5337983757376,"(-78.63, +57.42)","(-0.02, +0.01)",2025-04-23
