model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
gemini-2.0-flash-lite-001,17.02,15.8,18.75,2196.0,838.7547485392176,823.3033911277945,859.3263877466233,"(-15.45, +20.57)","(-1.22, +1.73)",2025-04-06
jamba-1.6-large,13.9,12.51,15.55,863.0,797.2708899188032,776.1889134314844,820.0980223278423,"(-21.08, +22.83)","(-1.39, +1.65)",2025-04-06
grok-2-1212,13.59,12.07,15.56,898.0,792.6926566022822,768.9783486885016,820.2181242493007,"(-23.71, +27.53)","(-1.52, +1.97)",2025-04-06
nova-pro-v1,12.55,11.3,14.1,905.0,776.7774758507637,756.042778381847,800.0832543969685,"(-20.73, +23.31)","(-1.25, +1.55)",2025-04-06
gpt-4o-mini,11.79,10.53,13.26,830.0,764.4223251874163,742.3229780712683,787.78501129268,"(-22.10, +23.36)","(-1.26, +1.47)",2025-04-06
qwen-2.5-72b-instruct,11.59,10.34,13.11,1097.0,760.9812670015203,738.8561156240091,785.5225874417963,"(-22.13, +24.54)","(-1.25, +1.52)",2025-04-06
minimax-01,11.03,9.81,12.09,1071.0,751.3539549996865,728.5663238150122,769.3174375893981,"(-22.79, +17.96)","(-1.22, +1.06)",2025-04-06
mistral-large-2411,10.03,8.64,11.37,906.0,732.9074322928617,704.2860199915991,757.2715830808372,"(-28.62, +24.36)","(-1.39, +1.34)",2025-04-06
gemma-2-27b-it,9.2,7.7,10.42,794.0,716.2111942897392,682.3967897805388,740.2214763576126,"(-33.81, +24.01)","(-1.50, +1.22)",2025-04-06
gpt-4-1106-preview,8.56,7.44,9.8,840.0,702.5481210563036,676.1161029389497,728.4266652890517,"(-26.43, +25.88)","(-1.12, +1.24)",2025-04-06
qwen2.5-32b-instruct,6.6,5.73,7.73,795.0,653.801846911155,627.5774441154712,683.2366330007869,"(-26.22, +29.43)","(-0.87, +1.13)",2025-04-06
mistral-small-3.1-24b-instruct-2503,6.29,5.28,7.25,961.0,644.7610718984055,612.6160591179314,671.2361793713859,"(-32.15, +26.48)","(-1.01, +0.96)",2025-04-06
command-r-plus-08-2024,5.97,5.05,6.77,969.0,635.081030525254,604.3595242171375,658.4969585953854,"(-30.72, +23.42)","(-0.92, +0.80)",2025-04-06
hermes-3-llama-3.1-405b,5.85,4.79,6.99,771.0,631.2717071716085,594.7658030567035,664.4249637351909,"(-36.51, +33.15)","(-1.06, +1.14)",2025-04-06
nova-lite-v1,5.8,4.97,6.8,994.0,629.6847519832808,601.4509248284883,659.1412087440542,"(-28.23, +29.46)","(-0.83, +1.00)",2025-04-06
lfm-7b,5.75,4.84,6.75,1011.0,628.2452876314484,596.4594956046777,657.7588190714175,"(-31.79, +29.51)","(-0.91, +1.00)",2025-04-06
qwen-turbo,5.55,4.54,6.73,623.0,621.4773011893068,584.9297731416235,657.3152253662778,"(-36.55, +35.84)","(-1.01, +1.18)",2025-04-06
wizardlm-2-8x22b,4.87,4.26,5.45,1028.0,597.7618606390145,573.2887356184867,618.4371166033349,"(-24.47, +20.68)","(-0.61, +0.58)",2025-04-06
mistral-small-24b-instruct-2501,4.83,3.88,5.86,998.0,596.2355318658625,556.3611694269922,631.7659022956694,"(-39.87, +35.53)","(-0.95, +1.03)",2025-04-06
gemma-2-9b-it,4.64,3.78,5.59,751.0,588.9030249569279,551.5091943980126,622.9162064455527,"(-37.39, +34.01)","(-0.86, +0.95)",2025-04-06
hermes-3-llama-3.1-70b,4.44,3.78,5.33,771.0,580.7217217428387,551.5300378018275,614.058671257223,"(-29.19, +33.34)","(-0.66, +0.89)",2025-04-06
nova-micro-v1,3.79,3.14,4.59,927.0,552.1975408349153,518.0311073579575,586.9872727609483,"(-34.17, +34.79)","(-0.65, +0.80)",2025-04-06
llama-3.3-70b-instruct,3.4,2.66,4.13,809.0,532.7510067381841,488.5471091133389,567.5507814810672,"(-44.20, +34.80)","(-0.74, +0.73)",2025-04-06
command-r-08-2024,3.18,2.48,3.8,796.0,520.8083958320276,476.3618232940969,552.7439557372788,"(-44.45, +31.94)","(-0.70, +0.62)",2025-04-06
lfm-40b,3.08,2.44,3.78,863.0,515.05615777722,473.549095645886,551.8740704791005,"(-41.51, +36.82)","(-0.64, +0.70)",2025-04-06
command-r7b-12-2024,2.59,2.1,3.17,882.0,483.9490908918823,446.3415778470396,520.1620272689119,"(-37.61, +36.21)","(-0.49, +0.58)",2025-04-06
lfm-3b,2.35,1.79,2.78,776.0,466.2663978484626,418.07689947062175,496.7985071768376,"(-48.19, +30.53)","(-0.56, +0.43)",2025-04-06
olmo-2-0325-32b-instruct,1.67,1.32,2.17,890.0,405.9589374937028,364.6717120671235,452.77576337347983,"(-41.29, +46.82)","(-0.35, +0.50)",2025-04-06
jamba-1.6-mini,1.66,1.32,2.1,920.0,404.44963895073204,364.0564182752698,446.5238732041278,"(-40.39, +42.07)","(-0.34, +0.44)",2025-04-06
qwen-2.5-7b-instruct,1.63,1.25,2.23,844.0,402.0420780099273,354.8521110832848,457.06795787692386,"(-47.19, +55.03)","(-0.38, +0.60)",2025-04-06
llama-3.1-nemotron-70b-instruct,1.28,1.03,1.57,1854.0,359.45374035285283,320.5186476324872,395.20638534488256,"(-38.94, +35.75)","(-0.25, +0.29)",2025-04-06
llama-3.1-405b-instruct,0.49,0.39,0.64,1735.0,189.736501567785,149.42668339413711,237.30863050049973,"(-40.31, +47.57)","(-0.10, +0.15)",2025-04-06
llama-3.1-70b-instruct,0.25,0.19,0.33,1923.0,70.85923859607703,23.16874218797188,120.21862365493675,"(-47.69, +49.36)","(-0.06, +0.08)",2025-04-06
llama-3.1-8b-instruct,0.03,0.02,0.05,5081.0,-269.1076835578041,-344.45353946710435,-208.90684061108905,"(-75.35, +60.20)","(-0.01, +0.02)",2025-04-06
